team,confederation,fifa_ranking,avg_goals_scored_per_game,avg_goals_conceded_per_game,win_rate_last_20,draw_rate_last_20,loss_rate_last_20,world_cup_titles,world_cup_finals,world_cup_semifinal_appearances,squad_avg_age,squad_avg_caps,squad_avg_club_league_tier,star_player_rating,coach_experience_years,home_advantage,current_form_points,qualifying_goals_scored,qualifying_goals_conceded,qualifying_win_rate,group_stage_opponents_avg_ranking,previous_wc_result,odds_to_win
Brazil,CONMEBOL,4,2.3,0.8,0.75,0.15,0.10,5,8,12,27.4,38,1.2,9.1,12,0,13,32,6,0.85,18,QF,5.5
France,UEFA,2,2.1,0.7,0.70,0.20,0.10,2,4,7,26.8,42,1.1,9.3,8,0,14,22,5,0.78,12,W,5.0
Argentina,CONMEBOL,1,2.0,0.9,0.72,0.18,0.10,3,6,9,28.1,55,1.2,9.8,6,0,15,27,8,0.80,15,W,6.0
England,UEFA,5,1.9,0.8,0.68,0.22,0.10,1,3,8,25.9,36,1.1,8.7,5,0,12,27,7,0.75,14,SF,7.0
Spain,UEFA,8,1.8,0.6,0.65,0.25,0.10,1,4,9,25.3,48,1.1,8.5,10,0,11,25,6,0.72,16,R16,8.0
Germany,UEFA,12,1.7,0.9,0.60,0.25,0.15,4,8,14,26.2,44,1.1,8.2,9,0,12,24,9,0.68,17,GS,10.0
Portugal,UEFA,6,2.0,0.9,0.65,0.20,0.15,0,1,3,29.2,72,1.2,9.5,4,0,13,28,7,0.72,19,QF,9.0
Netherlands,UEFA,7,1.8,0.8,0.62,0.23,0.15,0,3,6,26.5,41,1.1,8.4,6,0,11,23,6,0.70,20,SF,9.0
Belgium,UEFA,3,1.9,0.9,0.65,0.20,0.15,0,0,2,29.8,58,1.1,8.6,5,0,12,22,8,0.68,22,QF,11.0
Uruguay,CONMEBOL,14,1.7,1.0,0.60,0.20,0.20,2,5,6,28.4,47,1.3,8.0,7,0,11,18,9,0.65,21,GS,18.0
Croatia,UEFA,10,1.6,0.8,0.58,0.27,0.15,0,1,4,29.5,60,1.2,8.3,5,0,10,17,7,0.64,23,Final,16.0
Morocco,CAF,13,1.4,0.7,0.60,0.25,0.15,0,0,1,27.1,39,1.4,8.2,8,0,10,20,5,0.70,24,SF,20.0
Japan,AFC,17,1.5,1.0,0.55,0.25,0.20,0,0,1,26.8,34,1.3,7.8,9,0,9,22,8,0.62,25,R16,30.0
USA,CONCACAF,11,1.6,1.0,0.60,0.20,0.20,0,0,2,25.2,31,1.2,7.9,4,1,12,24,10,0.68,20,R16,20.0
Mexico,CONCACAF,15,1.5,1.1,0.55,0.25,0.20,0,0,1,27.5,42,1.3,7.5,6,0,10,20,9,0.60,23,R32,25.0
Senegal,CAF,20,1.4,1.0,0.55,0.25,0.20,0,0,1,26.3,35,1.4,7.7,5,0,9,19,8,0.62,26,R16,28.0
Australia,AFC,23,1.3,1.1,0.50,0.25,0.25,0,0,1,27.9,38,1.3,7.2,6,0,8,18,10,0.58,28,SF,35.0
Ecuador,CONMEBOL,40,1.4,1.2,0.50,0.20,0.30,0,0,0,25.8,28,1.4,7.0,3,0,8,17,11,0.55,30,GS,50.0
Serbia,UEFA,25,1.5,1.2,0.52,0.23,0.25,0,0,2,28.1,40,1.2,7.4,4,0,9,19,9,0.58,27,GS,40.0
Switzerland,UEFA,21,1.4,0.8,0.55,0.28,0.17,0,0,1,27.4,45,1.2,7.5,5,0,10,18,8,0.62,25,QF,30.0
Colombia,CONMEBOL,19,1.6,1.0,0.58,0.22,0.20,0,0,2,27.2,39,1.3,7.8,4,0,11,21,9,0.64,22,QF,22.0
Poland,UEFA,26,1.4,1.1,0.50,0.25,0.25,0,0,1,29.1,46,1.2,7.6,3,0,8,16,10,0.55,28,R32,35.0
Denmark,UEFA,22,1.5,0.7,0.60,0.25,0.15,0,0,2,26.7,37,1.1,7.7,6,0,11,20,7,0.67,23,SF,25.0
South Korea,AFC,28,1.3,1.1,0.50,0.22,0.28,0,0,2,27.5,34,1.3,7.3,4,0,8,17,9,0.56,29,GS,40.0
Iran,AFC,22,1.3,1.1,0.52,0.23,0.25,0,0,0,28.3,38,1.5,7.1,5,0,8,18,9,0.58,27,GS,45.0
Saudi Arabia,AFC,56,1.2,1.3,0.45,0.20,0.35,0,0,0,27.1,31,1.5,6.8,4,1,7,15,12,0.50,32,GS,60.0
Tunisia,CAF,32,1.2,1.0,0.50,0.25,0.25,0,0,0,27.8,35,1.5,7.0,4,0,8,17,10,0.55,30,GS,55.0
Ghana,CAF,60,1.3,1.3,0.48,0.22,0.30,0,0,2,26.4,30,1.5,7.1,3,0,7,16,11,0.52,31,QF,55.0
Cameroon,CAF,42,1.3,1.2,0.48,0.22,0.30,0,0,1,27.5,32,1.5,7.0,4,0,7,16,11,0.52,31,GS,58.0
Costa Rica,CONCACAF,50,1.1,1.1,0.45,0.25,0.30,0,0,2,28.4,40,1.4,6.9,5,0,7,15,10,0.50,33,GS,65.0
Canada,CONCACAF,35,1.4,1.1,0.55,0.20,0.25,0,0,0,25.5,28,1.3,7.3,3,0,9,20,10,0.60,28,GS,35.0
Qatar,AFC,48,1.2,1.3,0.45,0.20,0.35,0,0,0,26.1,28,1.5,6.5,3,1,6,14,12,0.48,35,GS,70.0
